source_id,origin,category,source_org,source_type,authority_level,evidence_role,jurisdiction,primary_or_secondary,description,source_url,final_url,saved_path,file_size_bytes,sha256,content_type,status,verified_at_utc,notes
SRC-0035,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Necrotic Enteritis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,坏死性肠炎,https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry,https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_necrotic-enteritis_necrotic-enteritis-in-poultry.html,260279,83df57b8a8522d434c9bf3dbbd958f680d6e7b6a95d29b65e2e81769893834ef,,downloaded,2026-04-28T07:40:26.179429+00:00,
SRC-0037,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Marek Disease in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,马立克病,https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry,https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_neoplasms_marek-disease-in-poultry.html,335102,abe91c74cd879733b41981da0abef4dafdc89c2ea96560fdcc2033472c6c8fe3,,downloaded,2026-04-28T07:40:26.182548+00:00,
SRC-0052,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Cage Layer Fatigue,disease_reference_page,A2,clinical_reference,US,secondary,笼养蛋鸡疲劳症,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/mineral-deficiencies-in-poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/mineral-deficiencies-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_cage-layer-fatigue.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.205690+00:00,
SRC-0050,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Fatty Liver Hemorrhagic Syndrome in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,脂肪肝出血综合征,https://www.merckvetmanual.com/poultry/fatty-liver-hemorrhagic-syndrome/fatty-liver-hemorrhagic-syndrome-in-poultry,https://www.merckvetmanual.com/poultry/fatty-liver-hemorrhagic-syndrome/fatty-liver-hemorrhagic-syndrome-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_fatty-liver-hemorrhagic-syndrome-in-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.201910+00:00,
SRC-0033,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Nutritional Diseases of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,维生素缺乏症,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/nutritional-deficiencies-in-poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/nutritional-deficiencies-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_nutritional-diseases-of-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.176721+00:00,
SRC-0055,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Fowl Typhoid in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡伤寒,https://www.merckvetmanual.com/poultry/salmonelloses-in-poultry/fowl-typhoid,https://www.merckvetmanual.com/poultry/salmonelloses-in-poultry/fowl-typhoid,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_fowl-typhoid-in-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.209187+00:00,
SRC-0029,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Pullorum Disease in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡白痢,https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry,https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_pullorum-disease-in-poultry.html,334739,378fc8d64c01510a33ff4e17bb4df1638280a9c8b8ffcf08ceb12d1aaf4f3af4,,downloaded,2026-04-28T07:40:26.170602+00:00,
SRC-0044,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Staphylococcosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,葡萄球菌病,https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry,https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_staphylococcosis_staphylococcosis-in-poultry.html,648897,f91c08b722b1d5c62f3caeaf9cb67f5f31cc388e2fe135da6cf1d3118948a117,,downloaded,2026-04-28T07:40:26.194977+00:00,
SRC-0001,seed_corpus,cn_official,农业农村部,official_notice,A0,regulation,CN,primary,中华人民共和国农业农村部公告 第573号 动物疫病病种名录,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403635.htm,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403635.htm,authoritative/raw/cn_official/moa_2022_573_animal_disease_catalog.html,74447,9866cef337a0b35eae9490862a325b97a23eb8f6b66ae4fd94e97f725e23a08d,text/html,copied,2026-04-28T07:40:26.079259+00:00,
SRC-0002,seed_corpus,cn_official,农业农村部,official_notice,A0,regulation,CN,primary,中华人民共和国农业农村部公告 第574号 动物卫生标准清单,https://www.moa.gov.cn/xw/bmdt/202206/t20220629_6403636.htm,https://www.moa.gov.cn/xw/bmdt/202206/t20220629_6403636.htm,authoritative/raw/cn_official/moa_2022_574_animal_health_standards_notice.html,116314,a8d5e7849c94f69930c1ffd51300b78214d10861c1d79389f6a0d92329fb9228,text/html,copied,2026-04-28T07:40:26.081782+00:00,
